amendment_indicator,amendment_indicator_desc,beneficiary_committee_name,candidate_first_name,candidate_id,candidate_last_name,candidate_middle_name,candidate_name,candidate_office,candidate_office_description,candidate_office_district,candidate_office_state,candidate_party,category_code,category_code_full,comm_dt,name,committee_id,committee_type,designation,designation_full,party,party_full,state,city,cycle,is_active,organization_type,organization_type_full,treasurer_name,affiliated_committee_name,filing_frequency,expenditure_amount,expenditure_date,expenditure_description,dissemination_date,support_oppose_indicator,election_type,election_type_full,fec_election_type_desc,fec_election_year,entity_type,entity_type_desc,payee_first_name,payee_last_name,payee_middle_name,payee_city,payee_occupation,file_number,filing_form,image_number,line_number,link_id,memo_code,memo_code_full,memo_text,memoed_subtotal,original_sub_id,pdf_url,report_type,report_year,schedule_type,schedule_type_full,sub_id,transaction_id,conduit_committee_id,conduit_committee_name,conduit_committee_city,conduit_committee_state
N,,,SHARIF,H6PA03195,STREET,,"STREET, SHARIF",H,,03,PA,DEM,,,,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 98 COMMITTEE ON POLITICAL EDUCATION,C00162818,Q,U,Unauthorized,,,PA,PHILADELPHIA,2026,True,L,Labor Organization,"FOY, JAMES",LOCAL 98 IBEW,Q,6850.0,2026-05-15,H6PA03195 SHIRTS SUPPORTING SHARIF STREET FOR US CONGRESS,2026-05-15,S,P2026,,,,,,,,,PHILADELPHIA,,1974730,F24,202605149866960955,24,4051420261510326017,,,,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866960955,24,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051420261510401048,E14509DBB4AC3483687C,,,,
N,,,SHARIF,H6PA03195,STREET,,"STREET, SHARIF",H,,03,PA,DEM,,,,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 98 COMMITTEE ON POLITICAL EDUCATION,C00162818,Q,U,Unauthorized,,,PA,PHILADELPHIA,2026,True,L,Labor Organization,"FOY, JAMES",LOCAL 98 IBEW,Q,12149.18,2026-05-15,H6PA03195 FLYERSAND DOORHANGER FOR SHARIF STREET FOR US,2026-05-15,S,P2026,,,,,,,,,PHILADELPHIA,,1974730,F24,202605149866960955,24,4051420261510326017,,,,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866960955,24,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051420261510401047,E582439FB303A409EA61,,,,
N,,,HALEY,S6MI00426,STEVENS,,"STEVENS, HALEY",S,,00,MI,DEM,004,Advertising Expenses ,,CENTER FORWARD COMMITTEE,C00568444,O,B,Lobbyist/Registrant PAC,,,VA,MCLEAN,2026,True,,,JEFFERIES MURRAY,NONE,Q,225000.0,2026-05-14,DIGITAL ADVERTISING,2026-05-13,S,P2026,,,,,,,,,CHICAGO,,1974990,F24,202605149866968193,24,4051420261510326055,,,,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866968193,48,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051420261510401128,SE.4984,C00568444,,,
N,,,LAUREN,H6CA06276,BABB TOMLINSON,,"BABB TOMLINSON, LAUREN",H,,06,CA,DEM,,,,EDW ACTION FUND,C00863472,V,U,Unauthorized,,,DC,WASHINGTON,2026,True,,,"OLDFIELD, ELI",PRO-CHOICE MAJORITY 2024,M,3400.31,2026-05-14,DIRECT MAIL ADVERTISING,2026-05-14,S,P2026,,,,,,,,,PASADENA,,1974972,F24,202605149866966116,24,4051420261510326051,,,NON-CONTRIBUTION ACCOUNT,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866966116,24,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051420261510401121,500327416,,,,
N,,,LAUREN,H6CA06276,BABB TOMLINSON,,"BABB TOMLINSON, LAUREN",H,,06,CA,DEM,,,,EDW ACTION FUND,C00863472,V,U,Unauthorized,,,DC,WASHINGTON,2026,True,,,"OLDFIELD, ELI",PRO-CHOICE MAJORITY 2024,M,11055.26,2026-05-14,DIRECT MAIL ADVERTISING,2026-05-14,S,P2026,,,,,,,,,PALMDALE,,1974972,F24,202605149866966115,24,4051420261510326051,,,NON-CONTRIBUTION ACCOUNT,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866966115,24,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051420261510401119,500327415,,,,
N,,,LAUREN,H6CA06276,BABB TOMLINSON,,"BABB TOMLINSON, LAUREN",H,,06,CA,DEM,,,,EDW ACTION FUND,C00863472,V,U,Unauthorized,,,DC,WASHINGTON,2026,True,,,"OLDFIELD, ELI",PRO-CHOICE MAJORITY 2024,M,751.1,2026-05-14,DIRECT MAIL ADVERTISING,2026-05-14,S,P2026,,,,,,,,,LINCOLN,,1974972,F24,202605149866966114,24,4051420261510326051,,,NON-CONTRIBUTION ACCOUNT,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866966114,24,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051420261510401117,500327418,,,,
N,,,JASMEET,H6CA22208,BAINS,,"BAINS, JASMEET",H,,22,CA,DEM,,,,EDW ACTION FUND,C00863472,V,U,Unauthorized,,,DC,WASHINGTON,2026,True,,,"OLDFIELD, ELI",PRO-CHOICE MAJORITY 2024,M,751.1,2026-05-14,DIRECT MAIL ADVERTISING,2026-05-13,S,P2026,,,,,,,,,LINCOLN,,1974972,F24,202605149866966114,24,4051420261510326051,,,NON-CONTRIBUTION ACCOUNT,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866966114,24,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051420261510401116,500327417,,,,
N,,,JOHN,H0GA14048,COWAN,,"COWAN, JOHN",H,,11,GA,REP,004,Advertising Expenses ,,AMERICAN VALUES FIRST,C00654764,O,U,Unauthorized,,,DC,WASHINGTON,2026,True,,,"RITER, JOEL",NONE,Q,4860.3,2026-05-14,TEXT MESSAGING,2026-05-14,S,P2026,,,,,,,,,DRIPPING SPRING,,1974967,F24,202605149866966109,24,4051420261510326047,,,,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866966109,24,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051420261510401110,SE.4631,C00654764,,,
N,,,JOHN SEN,S2TX00106,CORNYN,,"CORNYN, JOHN SEN",S,,00,TX,REP,004,Advertising Expenses ,,ASSOCIATION OF TEXAS CONSERVATIVES,C00946012,O,U,Unauthorized,,,TX,HOUSTON,2026,True,,,"WILLIAMSON, LES",NONE,Q,18380.96,2026-05-14,TEXT MESSAGES,2026-05-14,S,R2026,RUNOFF,,,,,,,,LEANDER,,1974938,F24,202605149866965287,24,4051420261510326040,,,,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866965287,24,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051420261510401093,SE.4136,C00946012,,,
N,,,YOUNG,H8CA39240,KIM,,"KIM, YOUNG",H,,40,CA,REP,004,Advertising Expenses ,,AMERICANS 4 SECURITY PAC,C00733352,O,U,Unauthorized,,,WI,PLOVER,2026,True,,,"KARAS, MATTHEW",NONE,Q,150000.0,2026-05-14,MEDIA: CABLE AND DIGITAL,2026-05-15,O,P2026,,,,,,,,,JACKSONVILLE,,1974918,F24,202605149866964799,24,4051420261510326037,,,,False,,https://docquery.fec.gov/cgi-bin/fecimg/?202605149866964799,48,2026,SE,ITEMIZED INDEPENDENT EXPENDITURES,4051420261510401087,SE.4649,C00733352,,,
